,ind,lon,lat,hs
213,213,250.49947,-74.49968,0.0
214,214,251.50198,-74.49968,0.0
215,215,252.49902,-74.49968,0.0
216,216,253.50154,-74.49968,0.0
217,217,254.49858,-74.49968,0.0
218,218,255.5011,-74.49968,0.0
219,219,256.49814,-74.49968,0.0
220,220,257.50067,-74.49968,0.0
221,221,299.50232,-74.49968,0.0
222,222,300.49936,-74.49968,0.0
223,223,301.5019,-74.49968,0.0
224,224,302.4989,-74.49968,0.0
225,225,303.50143,-74.49968,0.0
226,226,304.49847,-74.49968,0.0
227,227,305.50098,-74.49968,0.0
228,228,306.49805,-74.49968,0.0
229,229,307.50055,-74.49968,0.0
230,230,308.4976,-74.49968,0.0
231,231,309.50012,-74.49968,0.0
232,232,310.50262,-74.49968,0.0
233,233,311.49966,-74.49968,0.0
234,234,312.5022,-74.49968,0.0
235,235,313.4992,-74.49968,0.0
236,236,314.50174,-74.49968,0.0
237,237,315.49878,-74.49968,0.0
238,238,316.50128,-74.49968,0.0
239,239,317.49835,-74.49968,0.0
240,240,318.50085,-74.49968,0.0
241,241,319.4979,-74.49968,0.0
242,242,320.50043,-74.49968,0.0
243,243,321.49744,-74.49968,0.0
244,244,322.49997,-74.49968,0.0
245,245,323.5025,-74.49968,0.0
246,246,324.4995,-74.49968,0.0
247,247,325.50204,-74.49968,0.0
248,248,326.49908,-74.49968,0.0
249,249,327.5016,-74.49968,0.0
250,250,328.49866,-74.49968,0.0
251,251,329.50116,-74.49968,0.0
252,252,330.4982,-74.49968,0.0
253,253,331.50073,-74.49968,0.0
254,254,332.49774,-74.49968,0.0
255,255,333.50027,-74.49968,0.0
256,256,334.4973,-74.49968,0.0
257,257,169.49821,-73.49986,0.0
258,258,170.50073,-73.49986,0.0
259,259,171.49777,-73.49986,0.0
260,260,172.50029,-73.49986,0.0
261,261,173.49733,-73.49986,0.0
262,262,174.49985,-73.49986,0.0
263,263,175.50237,-73.49986,0.0
264,264,176.4994,-73.49986,0.0
265,265,177.50192,-73.49986,0.0
266,266,178.49896,-73.49986,0.0
267,267,179.50148,-73.49986,0.0
268,268,180.49852,-73.49986,0.0
269,269,181.50104,-73.49986,0.21344955824648595
270,270,182.49808,-73.49986,0.0
271,271,183.5006,-73.49986,0.0
272,272,184.49763,-73.49986,0.0
273,273,185.50015,-73.49986,0.0
274,274,186.50267,-73.49986,0.0
275,275,187.49971,-73.49986,0.0
276,276,188.50223,-73.49986,0.0
277,277,189.49927,-73.49986,0.0
278,278,190.50179,-73.49986,0.0
279,279,191.49883,-73.49986,0.0
280,280,192.50134,-73.49986,0.4594161505492977
281,281,193.49838,-73.49986,0.0
282,282,194.5009,-73.49986,0.11606570170269162
283,283,195.49794,-73.49986,0.2573986051276083
284,284,196.50046,-73.49986,0.3631607580050463
285,285,197.4975,-73.49986,0.49055946117638743
286,286,198.50002,-73.49986,0.4994095719151969
287,287,199.50253,-73.49986,0.5787762148854809
288,288,200.49957,-73.49986,0.7610440903003022
289,289,201.50209,-73.49986,0.7494692228008764
290,290,202.49913,-73.49986,0.7854693037618419
291,291,203.50165,-73.49986,0.8396159581430138
292,292,204.49869,-73.49986,0.8352949189966962
293,293,205.5012,-73.49986,0.928197054060295
294,294,206.49825,-73.49986,1.0059025817340075
295,295,207.50076,-73.49986,1.0259251450063096
296,296,208.4978,-73.49986,1.0351693004113791
297,297,209.50032,-73.49986,1.0719021277771374
298,298,210.49736,-73.49986,1.0955004401980704
299,299,211.49988,-73.49986,1.0688287699509205
300,300,212.5024,-73.49986,1.1637929727885383
301,301,213.49944,-73.49986,0.9642882949230076
302,302,214.50195,-73.49986,0.22739798466212935
303,303,215.499,-73.49986,0.0
304,304,216.50151,-73.49986,0.0
305,305,217.49855,-73.49986,0.0
306,306,218.50107,-73.49986,0.0
307,307,219.49811,-73.49986,0.0
308,308,220.50063,-73.49986,0.0
309,309,221.49767,-73.49986,0.0
310,310,222.50018,-73.49986,0.0
311,311,223.5027,-73.49986,0.0
312,312,224.49974,-73.49986,0.0
313,313,225.50226,-73.49986,0.0
314,314,226.4993,-73.49986,0.0
315,315,227.50182,-73.49986,0.0
316,316,228.49886,-73.49986,0.0
317,317,229.50137,-73.49986,0.0
318,318,230.49841,-73.49986,0.0
319,319,231.50093,-73.49986,0.0
320,320,232.49797,-73.49986,0.0
321,321,234.49753,-73.49986,0.0
322,322,235.50005,-73.49986,0.0
323,323,236.50256,-73.49986,0.0
324,324,237.4996,-73.49986,0.0
325,325,238.50212,-73.49986,0.0
326,326,239.49916,-73.49986,0.0
327,327,240.50168,-73.49986,0.0
328,328,241.49872,-73.49986,0.0
329,329,242.50124,-73.49986,0.0
330,330,243.49828,-73.49986,0.0
331,331,244.5008,-73.49986,0.0
332,332,245.49783,-73.49986,0.0
333,333,246.50035,-73.49986,0.0
334,334,247.49739,-73.49986,0.0
335,335,248.49991,-73.49986,0.0
336,336,249.50243,-73.49986,0.0
337,337,250.49947,-73.49986,0.0
